"gid","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균"
"라라44b98b",146.87,5.49,46,150.54,30.16,0,27,0,17,32.75,0,0,0,0,44,0,0,0,7,8,19,0,0,0,11025.16,31,27,14.511,0.595,3.319,6,2.77,1,4734,4734,0,0,3266,3266,9,3,0.333333333333333,0,0,0,0,3,0.333333333333333,0,0,0,0
"라마50b00a",85.6,4.89,7,94.93,4.32,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5083.97,4,1,15.647,4.492,14.249,3,0.27,1,99,99,0,0,2185,2185,18,2,0.111111111111111,0,0,1,0.0555555555555556,0,0,0,0,1,0.0555555555555556
"라라75b87a",1215.15,7.59,5,1213.59,35.61,0,0,0,0,35.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8459.56,0,0,22.497,1.148,3.939,2,2.43,2,13849,6924.5,0,0,3735,1867.5,5,1,0.2,0,0,1,0.2,0,0,0,0,0,0
"라라51a99a",69.64,5.47,27,70.69,24.58,0,15,0,13,26.61,0,0,0,0,28,0,0,0,0,6,0,7,0,0,12148.81,23,19,14.62,3.465,15.225,5,0.76,1,396,396,0,0,6507,6507,6,0,0,0,0,0,0,0,0,0,0,0,0
"라라62a92a",100.22,4.51,18,100.22,30.19,0,15,0,7,30.19,0,0,0,0,24,0,0,0,0,0,0,8,0,0,30607.28,15,8,19.625,4.594,5.989,4,0.72,4,33254,8313.5,0,0,8114,2028.5,3,0,0,0,0,0,0,0,0,0,0,0,0
"라라58a89a",109.84,6.17,29,128.96,31.56,0,26,0,29,44.02,0,0,0,0,59,0,0,0,9,16,7,7,0,0,45895,19,10,4.646,3.589,2.835,4,1.45,2,7125,3562.5,0,0,2903,1451.5,16,2,0.125,1,0.0625,1,0.0625,0,0,0,0,0,0
"라라60b81b",183.41,6.1,5,180.23,14.23,0,0,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25152.51,0,0,8.716,5.277,5.633,3,0.36,1,550,550,0,0,1470,1470,10,0,0,0,0,0,0,0,0,0,0,0,0
"라라55a84b",143.13,13.04,295,576.14,57.59,30,384,15,2069,170.66,45,9,17,28,2498,1411,167,122,215,256,162,65,16,0,837978.45,79,54,2.877,5.471,0.246,6,67.57,9,16822,1869.11111111111,0,0,2708,300.888888888889,380,54,0.142105263157895,1,0.00263157894736842,43,0.113157894736842,5,0.0131578947368421,3,0.00789473684210526,0,0
"라라55b89b",217.49,11.89,206,1202.65,46.97,185,610,25,3151,106.18,461,167,143,245,4222,542,408,608,907,659,233,106,19,0,548969.04,98,26,3.528,2.382,1.78,7,97.38,3,2035,678.333333333333,0,0,4162,1387.33333333333,224,46,0.205357142857143,4,0.0178571428571429,32,0.142857142857143,5,0.0223214285714286,0,0,0,0
"라라73a87a",198,5.5,1,198,19.84,0,0,0,0,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.99,0,0,19.512,3.139,3.292,1,0.08,1,2200,2200,1,1,488,488,5,0,0,0,0,0,0,0,0,0,0,0,0
